Month,Year,Rainfall,WPI
1,2022,19.5,162.3
2,2022,20.8,163.1
3,2022,27.7,164.8
4,2022,38.2,165.6
5,2022,63.2,167.2
6,2022,170.3,168.5
7,2022,289.1,169.7
8,2022,255.9,171.0
9,2022,174.2,172.3
10,2022,77.3,173.7
11,2022,29.3,175.0
12,2022,14.4,176.5
1,2023,19.6,177.2
2,2023,20.9,178.1
3,2023,27.9,179.6
4,2023,38.4,180.3
5,2023,63.3,181.7
6,2023,171.1,183.0
7,2023,289.3,184.3
8,2023,256.1,185.5
9,2023,174.4,186.8
10,2023,77.5,188.0
11,2023,29.4,189.3
12,2023,14.5,190.5
1,2024,19.7,191.2
2,2024,21.0,192.1
3,2024,28.1,193.5
4,2024,38.6,194.2
5,2024,63.5,195.6
6,2024,171.3,196.9
7,2024,289.5,198.2
8,2024,256.3,199.4
9,2024,174.6,200.7
10,2024,77.7,201.9
11,2024,29.6,203.1
12,2024,14.6,204.3
1,2025,19.8,205.0
2,2025,21.1,205.9
3,2025,28.3,207.3
4,2025,38.8,208.0
5,2025,63.7,209.3
6,2025,171.5,210.5
7,2025,289.7,211.8
8,2025,256.5,213.0
9,2025,174.8,214.3
10,2025,77.9,215.5
11,2025,29.8,216.7
12,2025,14.7,217.9
