Month,Year,Rainfall,WPI
1,2022,23.1,180.3
2,2022,24.0,181.2
3,2022,31.0,182.0
4,2022,42.5,183.0
5,2022,63.0,184.0
6,2022,170.0,185.2
7,2022,289.0,186.5
8,2022,255.5,188.0
9,2022,174.0,189.3
10,2022,76.0,190.7
11,2022,30.0,192.0
12,2022,13.5,193.5
1,2023,22.9,194.0
2,2023,23.8,195.1
3,2023,30.8,196.3
4,2023,41.9,197.5
5,2023,62.8,198.7
6,2023,169.6,199.8
7,2023,288.9,200.9
8,2023,254.9,202.2
9,2023,173.5,203.4
10,2023,75.2,204.7
11,2023,29.8,205.9
12,2023,13.3,207.0
1,2024,22.8,208.1
2,2024,23.7,209.3
3,2024,30.7,210.5
4,2024,41.8,211.7
5,2024,62.7,212.8
6,2024,169.9,213.9
7,2024,289.2,215.0
8,2024,255.0,216.1
9,2024,173.7,217.3
10,2024,75.4,218.5
11,2024,29.9,219.7
12,2024,13.4,220.8
1,2025,23.0,221.9
2,2025,24.0,223.0
3,2025,31.0,224.1
4,2025,42.0,225.2
5,2025,63.1,226.3
6,2025,170.1,227.4
7,2025,290.0,228.5
8,2025,255.2,229.6
9,2025,174.0,230.7
10,2025,75.5,231.8
11,2025,30.0,232.9
12,2025,13.5,234.0
