Month,Year,Rainfall,WPI
1,2022,22.0,210.5
2,2022,23.1,211.8
3,2022,30.0,213.1
4,2022,41.5,214.4
5,2022,62.8,215.8
6,2022,168.2,217.0
7,2022,288.9,218.5
8,2022,254.7,220.0
9,2022,175.3,221.4
10,2022,75.4,222.7
11,2022,30.0,224.1
12,2022,13.0,225.4
1,2023,21.8,226.5
2,2023,22.9,227.8
3,2023,29.8,229.1
4,2023,40.9,230.4
5,2023,62.6,231.8
6,2023,168.0,233.0
7,2023,288.5,234.5
8,2023,254.5,236.0
9,2023,175.0,237.3
10,2023,75.1,238.7
11,2023,29.8,240.0
12,2023,12.9,241.3
1,2024,21.9,242.5
2,2024,23.0,243.8
3,2024,29.9,245.1
4,2024,41.0,246.4
5,2024,62.7,247.8
6,2024,168.3,249.0
7,2024,288.7,250.5
8,2024,254.6,252.0
9,2024,175.1,253.3
10,2024,75.2,254.6
11,2024,29.9,255.9
12,2024,13.1,257.2
1,2025,22.1,258.4
2,2025,23.2,259.7
3,2025,30.1,261.0
4,2025,41.1,262.3
5,2025,62.9,263.7
6,2025,168.4,264.9
7,2025,289.0,266.4
8,2025,254.8,267.9
9,2025,175.2,269.2
10,2025,75.3,270.5
11,2025,30.0,271.8
12,2025,13.2,273.1
