Month,Year,Rainfall,WPI
1,2022,22.3,184.7
2,2022,23.4,185.9
3,2022,30.5,187.2
4,2022,41.2,188.6
5,2022,63.1,190.2
6,2022,168.7,191.5
7,2022,289.2,193.0
8,2022,254.9,194.3
9,2022,176.5,195.7
10,2022,75.8,197.0
11,2022,30.3,198.4
12,2022,12.8,199.8
1,2023,22.0,200.9
2,2023,23.1,202.1
3,2023,30.2,203.5
4,2023,41.0,204.8
5,2023,63.0,206.2
6,2023,168.4,207.5
7,2023,289.0,209.0
8,2023,254.6,210.3
9,2023,176.2,211.7
10,2023,75.5,213.0
11,2023,30.1,214.4
12,2023,12.7,215.7
1,2024,22.2,216.8
2,2024,23.3,218.0
3,2024,30.4,219.3
4,2024,41.1,220.7
5,2024,63.2,222.1
6,2024,168.6,223.4
7,2024,289.4,224.9
8,2024,254.8,226.1
9,2024,176.3,227.4
10,2024,75.7,228.8
11,2024,30.2,230.1
12,2024,12.9,231.5
1,2025,22.4,232.7
2,2025,23.5,233.9
3,2025,30.6,235.2
4,2025,41.3,236.5
5,2025,63.4,237.9
6,2025,168.9,239.2
7,2025,289.7,240.7
8,2025,255.0,242.0
9,2025,176.4,243.3
10,2025,75.9,244.6
11,2025,30.3,245.9
12,2025,13.0,247.2
