Month,Year,Rainfall,WPI
1,2022,18.3,161.7
2,2022,19.5,162.5
3,2022,26.2,163.8
4,2022,35.5,164.9
5,2022,56.8,165.6
6,2022,157.2,166.5
7,2022,275.5,167.9
8,2022,245.5,169.2
9,2022,165.2,170.3
10,2022,70.2,171.6
11,2022,27.6,172.8
12,2022,11.0,173.9
1,2023,18.5,174.5
2,2023,19.7,175.2
3,2023,26.5,176.3
4,2023,35.8,177.0
5,2023,57.0,178.2
6,2023,157.7,179.5
7,2023,276.0,180.7
8,2023,246.0,181.9
9,2023,166.0,183.0
10,2023,70.7,184.1
11,2023,27.8,185.3
12,2023,11.2,186.4
1,2024,18.8,187.0
2,2024,20.0,187.7
3,2024,26.8,188.4
4,2024,36.0,189.1
5,2024,57.2,190.3
6,2024,158.2,191.5
7,2024,276.5,192.7
8,2024,246.5,193.9
9,2024,166.5,195.0
10,2024,71.0,196.1
11,2024,28.0,197.2
12,2024,11.4,198.3
1,2025,19.0,198.9
2,2025,20.2,199.6
3,2025,27.0,200.3
4,2025,36.2,201.0
5,2025,57.5,202.2
6,2025,158.7,203.4
7,2025,277.0,204.6
8,2025,247.0,205.8
9,2025,167.0,206.9
10,2025,71.3,208.1
11,2025,28.2,209.2
12,2025,11.6,210.3
