Month,Year,Rainfall,WPI
1,2022,20.2,162.4
2,2022,21.4,163.1
3,2022,28.2,164.5
4,2022,37.5,165.2
5,2022,59.0,166.1
6,2022,160.5,167.0
7,2022,280.0,168.4
8,2022,250.0,169.8
9,2022,170.0,171.0
10,2022,72.0,172.4
11,2022,28.0,173.6
12,2022,12.2,174.9
1,2023,20.4,175.6
2,2023,21.6,176.9
3,2023,28.5,178.1
4,2023,37.8,179.2
5,2023,59.2,180.4
6,2023,161.0,181.6
7,2023,280.5,182.8
8,2023,250.5,184.0
9,2023,170.5,185.2
10,2023,72.5,186.3
11,2023,28.2,187.5
12,2023,12.4,188.7
1,2024,20.6,189.9
2,2024,21.8,191.1
3,2024,28.8,192.3
4,2024,38.0,193.5
5,2024,59.5,194.7
6,2024,161.5,195.9
7,2024,281.0,197.0
8,2024,251.0,198.2
9,2024,171.0,199.3
10,2024,73.0,200.4
11,2024,28.4,201.5
12,2024,12.6,202.7
1,2025,20.8,203.8
2,2025,22.0,205.1
3,2025,29.0,206.2
4,2025,38.2,207.4
5,2025,59.8,208.5
6,2025,162.0,209.7
7,2025,281.5,210.9
8,2025,251.5,212.0
9,2025,171.5,213.1
10,2025,73.5,214.3
11,2025,28.6,215.4
12,2025,12.8,216.5
