Month,Year,Rainfall,WPI
1,2022,18.5,135.7
2,2022,19.8,136.2
3,2022,26.3,136.8
4,2022,35.0,137.5
5,2022,56.0,138.2
6,2022,155.0,139.0
7,2022,275.0,139.7
8,2022,245.0,140.5
9,2022,165.0,141.3
10,2022,68.0,142.1
11,2022,26.0,143.0
12,2022,12.0,144.5
1,2023,18.7,145.0
2,2023,19.9,146.3
3,2023,26.5,147.1
4,2023,35.2,148.0
5,2023,56.2,148.8
6,2023,155.5,149.7
7,2023,275.5,150.5
8,2023,245.5,151.3
9,2023,165.5,152.1
10,2023,68.2,153.0
11,2023,26.2,153.8
12,2023,12.2,154.5
1,2024,18.9,155.2
2,2024,20.2,156.4
3,2024,26.8,157.2
4,2024,35.4,158.0
5,2024,56.5,158.9
6,2024,156.0,159.7
7,2024,276.0,160.5
8,2024,246.0,161.3
9,2024,165.8,162.1
10,2024,68.4,163.0
11,2024,26.4,163.8
12,2024,12.4,164.6
1,2025,19.1,165.4
2,2025,20.4,166.6
3,2025,27.0,167.4
4,2025,35.6,168.2
5,2025,56.8,169.0
6,2025,156.5,169.8
7,2025,276.5,170.6
8,2025,246.5,171.4
9,2025,166.0,172.2
10,2025,68.6,173.0
11,2025,26.6,173.8
12,2025,12.6,174.6
