Month,Year,Rainfall,WPI
1,2022,18.0,145.6
2,2022,19.5,146.3
3,2022,25.0,147.1
4,2022,34.0,147.8
5,2022,55.0,148.5
6,2022,150.0,149.3
7,2022,270.0,150.2
8,2022,240.0,151.1
9,2022,160.0,152.3
10,2022,65.0,153.5
11,2022,24.0,154.6
12,2022,11.0,155.8
1,2023,18.2,156.9
2,2023,19.7,158.1
3,2023,25.2,159.2
4,2023,34.2,160.4
5,2023,55.3,161.5
6,2023,150.5,162.6
7,2023,270.5,163.7
8,2023,240.5,164.8
9,2023,160.5,165.9
10,2023,65.2,167.0
11,2023,24.2,168.1
12,2023,11.2,169.3
1,2024,18.4,170.4
2,2024,19.9,171.5
3,2024,25.4,172.7
4,2024,34.4,173.8
5,2024,55.6,174.9
6,2024,151.0,176.1
7,2024,271.0,177.2
8,2024,241.0,178.3
9,2024,160.8,179.4
10,2024,65.4,180.5
11,2024,24.4,181.6
12,2024,11.4,182.7
1,2025,18.6,183.8
2,2025,20.1,184.9
3,2025,25.6,186.0
4,2025,34.6,187.1
5,2025,55.9,188.2
6,2025,151.5,189.3
7,2025,271.5,190.4
8,2025,241.5,191.5
9,2025,161.0,192.6
10,2025,65.6,193.7
11,2025,24.6,194.8
12,2025,11.6,195.9
