Month,Year,Rainfall,WPI
1,2022,20.0,135.6
2,2022,21.5,136.3
3,2022,26.0,137.1
4,2022,36.0,137.8
5,2022,56.5,138.6
6,2022,160.5,139.2
7,2022,275.0,140.1
8,2022,245.0,141.0
9,2022,168.0,142.3
10,2022,70.0,143.5
11,2022,26.0,144.8
12,2022,12.0,146.0
1,2023,20.2,147.1
2,2023,21.7,148.3
3,2023,26.3,149.4
4,2023,36.3,150.6
5,2023,56.8,151.7
6,2023,161.0,152.9
7,2023,275.5,154.0
8,2023,245.5,155.1
9,2023,168.3,156.3
10,2023,70.5,157.4
11,2023,26.2,158.5
12,2023,12.2,159.6
1,2024,20.4,160.7
2,2024,21.9,161.9
3,2024,26.5,163.1
4,2024,36.5,164.3
5,2024,57.0,165.4
6,2024,161.5,166.5
7,2024,276.0,167.6
8,2024,246.0,168.7
9,2024,168.5,169.9
10,2024,71.0,171.0
11,2024,26.5,172.2
12,2024,12.4,173.3
1,2025,20.6,174.4
2,2025,22.0,175.5
3,2025,26.8,176.7
4,2025,36.8,177.8
5,2025,57.2,178.9
6,2025,162.0,180.0
7,2025,276.5,181.1
8,2025,246.5,182.2
9,2025,168.8,183.4
10,2025,71.2,184.5
11,2025,26.8,185.6
12,2025,12.6,186.7
