Month,Year,Rainfall,WPI
1,2022,18.5,130.2
2,2022,19.5,131.0
3,2022,24.0,132.5
4,2022,34.5,133.0
5,2022,55.5,134.2
6,2022,159.0,135.5
7,2022,276.5,137.0
8,2022,246.0,138.3
9,2022,167.5,139.5
10,2022,68.5,140.9
11,2022,24.0,141.7
12,2022,10.5,143.0
1,2023,18.7,144.0
2,2023,19.8,145.2
3,2023,24.2,146.5
4,2023,34.7,147.8
5,2023,55.7,149.0
6,2023,159.5,150.3
7,2023,277.0,151.7
8,2023,246.5,153.0
9,2023,167.8,154.3
10,2023,68.8,155.5
11,2023,24.2,156.8
12,2023,10.7,158.0
1,2024,18.9,159.2
2,2024,19.9,160.3
3,2024,24.4,161.6
4,2024,34.9,162.8
5,2024,55.9,164.1
6,2024,160.0,165.3
7,2024,277.5,166.7
8,2024,247.0,168.0
9,2024,168.0,169.2
10,2024,69.0,170.5
11,2024,24.4,171.8
12,2024,10.9,173.0
1,2025,19.1,174.2
2,2025,20.1,175.3
3,2025,24.6,176.6
4,2025,35.1,177.8
5,2025,56.1,179.0
6,2025,160.5,180.3
7,2025,278.0,181.6
8,2025,247.5,182.8
9,2025,168.2,184.0
10,2025,69.2,185.3
11,2025,24.6,186.5
12,2025,11.0,187.8
