Month,Year,Rainfall,WPI
1,2022,17.0,140.2
2,2022,18.0,141.0
3,2022,23.0,142.5
4,2022,33.5,143.0
5,2022,56.0,144.2
6,2022,160.0,145.5
7,2022,278.0,147.0
8,2022,247.5,148.3
9,2022,169.0,149.5
10,2022,70.0,150.9
11,2022,25.5,152.0
12,2022,11.5,153.2
1,2023,17.2,154.0
2,2023,18.3,154.9
3,2023,23.4,156.2
4,2023,34.0,157.5
5,2023,56.3,158.7
6,2023,160.5,160.0
7,2023,278.5,161.2
8,2023,248.0,162.4
9,2023,169.2,163.5
10,2023,70.5,164.7
11,2023,25.7,165.8
12,2023,11.7,167.0
1,2024,17.4,168.1
2,2024,18.5,169.0
3,2024,23.6,170.3
4,2024,34.2,171.5
5,2024,56.5,172.7
6,2024,160.8,173.9
7,2024,279.0,175.2
8,2024,248.5,176.4
9,2024,169.5,177.6
10,2024,70.8,178.8
11,2024,25.9,179.9
12,2024,11.9,181.0
1,2025,17.6,182.2
2,2025,18.7,183.3
3,2025,23.8,184.5
4,2025,34.4,185.6
5,2025,56.8,186.8
6,2025,161.2,188.0
7,2025,279.3,189.2
8,2025,249.0,190.4
9,2025,169.8,191.6
10,2025,71.0,192.8
11,2025,26.0,193.9
12,2025,12.0,195.0
