Month,Year,Rainfall,WPI
1,2022,17.5,135.6
2,2022,18.2,136.4
3,2022,24.5,137.3
4,2022,34.5,138.1
5,2022,57.0,139.5
6,2022,162.0,140.9
7,2022,280.3,142.2
8,2022,249.1,143.5
9,2022,170.4,144.8
10,2022,71.5,146.0
11,2022,26.8,147.3
12,2022,12.2,148.6
1,2023,17.8,149.8
2,2023,18.5,150.9
3,2023,24.9,152.1
4,2023,35.0,153.3
5,2023,57.3,154.5
6,2023,162.5,155.7
7,2023,280.7,156.9
8,2023,249.4,158.1
9,2023,170.6,159.2
10,2023,71.8,160.4
11,2023,27.1,161.6
12,2023,12.4,162.8
1,2024,18.0,163.9
2,2024,18.7,165.1
3,2024,25.2,166.2
4,2024,35.4,167.3
5,2024,57.6,168.5
6,2024,163.0,169.7
7,2024,281.0,170.8
8,2024,249.7,172.0
9,2024,170.8,173.1
10,2024,72.0,174.2
11,2024,27.3,175.3
12,2024,12.6,176.4
1,2025,18.2,177.5
2,2025,18.9,178.6
3,2025,25.4,179.7
4,2025,35.7,180.8
5,2025,57.9,181.9
6,2025,163.4,183.0
7,2025,281.3,184.1
8,2025,250.0,185.2
9,2025,171.1,186.3
10,2025,72.3,187.4
11,2025,27.5,188.5
12,2025,12.8,189.6
