Month,Year,Rainfall,WPI
1,2022,19.2,158.4
2,2022,20.7,159.6
3,2022,27.4,160.8
4,2022,38.2,162.0
5,2022,63.1,164.3
6,2022,171.5,165.7
7,2022,289.7,167.2
8,2022,256.9,168.5
9,2022,175.5,169.9
10,2022,78.2,171.2
11,2022,29.3,173.0
12,2022,14.4,174.6
1,2023,19.3,176.5
2,2023,20.8,177.7
3,2023,27.5,179.0
4,2023,38.7,180.3
5,2023,63.3,181.8
6,2023,171.2,183.2
7,2023,289.5,184.6
8,2023,257.1,186.0
9,2023,175.8,187.3
10,2023,78.3,188.6
11,2023,29.6,190.0
12,2023,14.6,191.2
1,2024,19.4,192.5
2,2024,21.0,193.7
3,2024,27.7,195.0
4,2024,39.1,196.4
5,2024,63.5,197.8
6,2024,171.8,199.1
7,2024,290.2,200.5
8,2024,257.3,201.9
9,2024,175.9,203.2
10,2024,78.7,204.5
11,2024,29.8,205.8
12,2024,14.7,207.0
1,2025,19.6,208.2
2,2025,21.2,209.5
3,2025,27.9,210.8
4,2025,39.5,212.2
5,2025,63.9,213.5
6,2025,172.4,214.9
7,2025,290.9,216.2
8,2025,258.0,217.5
9,2025,176.0,218.8
10,2025,78.9,220.1
11,2025,30.0,221.3
12,2025,14.9,222.6
