Month,Year,Rainfall,WPI
1,2022,18.2,145.6
2,2022,19.0,146.4
3,2022,25.2,147.3
4,2022,36.2,148.1
5,2022,59.4,149.2
6,2022,164.5,150.3
7,2022,282.7,151.5
8,2022,251.1,152.7
9,2022,172.3,153.9
10,2022,73.2,155.0
11,2022,27.8,156.2
12,2022,12.5,157.4
1,2023,18.5,158.6
2,2023,19.3,159.8
3,2023,25.6,161.0
4,2023,36.5,162.2
5,2023,59.8,163.3
6,2023,165.1,164.5
7,2023,283.2,165.6
8,2023,251.7,166.8
9,2023,172.6,168.0
10,2023,73.6,169.1
11,2023,28.0,170.3
12,2023,12.8,171.5
1,2024,18.8,172.7
2,2024,19.6,173.8
3,2024,25.9,175.0
4,2024,36.8,176.1
5,2024,60.1,177.2
6,2024,165.6,178.4
7,2024,283.5,179.6
8,2024,252.2,180.7
9,2024,173.0,181.9
10,2024,73.9,183.0
11,2024,28.2,184.2
12,2024,13.0,185.4
1,2025,19.0,186.5
2,2025,19.8,187.7
3,2025,26.1,188.8
4,2025,37.1,189.9
5,2025,60.3,191.0
6,2025,166.0,192.2
7,2025,283.8,193.3
8,2025,252.6,194.5
9,2025,173.3,195.6
10,2025,74.1,196.8
11,2025,28.4,197.9
12,2025,13.2,199.0
