Month,Year,Rainfall,WPI
1,2022,16.3,140.5
2,2022,17.2,141.7
3,2022,23.4,142.9
4,2022,33.6,144.1
5,2022,56.0,145.2
6,2022,162.8,146.3
7,2022,279.6,147.5
8,2022,247.2,148.6
9,2022,167.5,149.8
10,2022,71.3,151.0
11,2022,26.0,152.1
12,2022,11.4,153.3
1,2023,16.6,154.5
2,2023,17.5,155.7
3,2023,23.8,156.9
4,2023,34.1,158.0
5,2023,56.4,159.2
6,2023,163.4,160.4
7,2023,280.0,161.5
8,2023,247.8,162.7
9,2023,168.1,163.9
10,2023,71.6,165.0
11,2023,26.3,166.2
12,2023,11.5,167.4
1,2024,16.7,168.5
2,2024,17.6,169.7
3,2024,24.0,170.9
4,2024,34.4,172.0
5,2024,56.7,173.1
6,2024,163.9,174.3
7,2024,280.3,175.4
8,2024,248.3,176.6
9,2024,168.3,177.7
10,2024,71.8,178.9
11,2024,26.5,180.0
12,2024,11.7,181.1
1,2025,16.9,182.3
2,2025,17.8,183.4
3,2025,24.2,184.6
4,2025,34.7,185.7
5,2025,57.0,186.8
6,2025,164.4,188.0
7,2025,280.6,189.1
8,2025,248.6,190.3
9,2025,168.5,191.4
10,2025,72.0,192.5
11,2025,26.8,193.7
12,2025,11.9,194.8
