Month,Year,Rainfall,WPI
1,2022,18.2,145.0
2,2022,19.1,146.2
3,2022,26.2,147.4
4,2022,36.5,148.7
5,2022,58.7,149.9
6,2022,166.3,151.1
7,2022,283.2,152.4
8,2022,251.7,153.6
9,2022,170.3,154.9
10,2022,73.8,156.1
11,2022,27.3,157.4
12,2022,12.6,158.7
1,2023,17.8,160.1
2,2023,18.8,161.2
3,2023,25.9,162.3
4,2023,36.2,163.5
5,2023,59.2,164.7
6,2023,167.1,165.8
7,2023,284.3,167.0
8,2023,251.0,168.2
9,2023,169.5,169.4
10,2023,73.1,170.6
11,2023,27.6,171.8
12,2023,12.8,173.0
1,2024,17.9,174.2
2,2024,18.9,175.4
3,2024,26.1,176.5
4,2024,36.4,177.7
5,2024,59.6,178.8
6,2024,167.4,179.9
7,2024,284.6,181.0
8,2024,251.3,182.2
9,2024,169.8,183.4
10,2024,73.4,184.6
11,2024,27.9,185.7
12,2024,12.9,186.9
1,2025,18.0,188.1
2,2025,19.0,189.3
3,2025,26.3,190.5
4,2025,36.6,191.6
5,2025,59.9,192.8
6,2025,168.0,193.9
7,2025,285.0,195.0
8,2025,251.6,196.2
9,2025,170.1,197.3
10,2025,73.6,198.5
11,2025,28.1,199.7
12,2025,13.0,200.9
