Month,Year,Rainfall,WPI
1,2022,17.4,150.3
2,2022,18.3,151.5
3,2022,25.5,152.8
4,2022,35.9,153.9
5,2022,59.4,155.2
6,2022,167.2,156.4
7,2022,284.5,157.7
8,2022,253.1,158.9
9,2022,171.7,160.1
10,2022,74.5,161.2
11,2022,27.9,162.4
12,2022,13.0,163.5
1,2023,18.1,164.6
2,2023,19.3,165.7
3,2023,26.3,166.8
4,2023,36.7,167.9
5,2023,60.0,169.1
6,2023,168.0,170.2
7,2023,285.7,171.3
8,2023,252.5,172.4
9,2023,171.0,173.5
10,2023,74.9,174.6
11,2023,28.2,175.7
12,2023,13.1,176.8
1,2024,18.2,177.9
2,2024,19.5,179.0
3,2024,26.6,180.1
4,2024,37.0,181.2
5,2024,60.4,182.3
6,2024,168.4,183.4
7,2024,286.2,184.5
8,2024,253.3,185.6
9,2024,171.3,186.7
10,2024,75.2,187.8
11,2024,28.4,188.9
12,2024,13.2,190.0
1,2025,18.3,191.1
2,2025,19.6,192.2
3,2025,26.8,193.3
4,2025,37.3,194.4
5,2025,60.7,195.5
6,2025,169.0,196.6
7,2025,286.8,197.7
8,2025,253.7,198.8
9,2025,171.5,199.9
10,2025,75.4,201.0
11,2025,28.6,202.1
12,2025,13.3,203.2
