Month,Year,Rainfall,WPI
1,2022,18.2,152.5
2,2022,19.4,153.7
3,2022,26.0,155.1
4,2022,36.4,156.3
5,2022,60.9,157.8
6,2022,168.7,159.1
7,2022,286.3,160.4
8,2022,254.5,161.7
9,2022,172.9,163.0
10,2022,75.3,164.2
11,2022,28.3,165.5
12,2022,13.4,166.7
1,2023,18.7,167.9
2,2023,19.8,169.1
3,2023,26.8,170.2
4,2023,37.4,171.4
5,2023,61.3,172.6
6,2023,169.2,173.8
7,2023,287.8,175.0
8,2023,254.1,176.1
9,2023,173.3,177.3
10,2023,75.6,178.4
11,2023,28.7,179.5
12,2023,13.6,180.6
1,2024,19.0,181.7
2,2024,20.2,182.8
3,2024,27.0,183.9
4,2024,37.6,185.0
5,2024,61.7,186.1
6,2024,169.5,187.2
7,2024,288.1,188.3
8,2024,254.8,189.4
9,2024,173.6,190.5
10,2024,75.9,191.6
11,2024,28.9,192.7
12,2024,13.7,193.8
1,2025,19.1,194.9
2,2025,20.3,196.0
3,2025,27.2,197.1
4,2025,37.8,198.2
5,2025,62.0,199.3
6,2025,170.0,200.4
7,2025,288.4,201.5
8,2025,255.0,202.6
9,2025,173.8,203.7
10,2025,76.1,204.8
11,2025,29.0,205.9
12,2025,13.8,207.0
