Month,Year,Rainfall,WPI
1,2022,18.5,132.8
2,2022,19.9,134.2
3,2022,26.2,136.0
4,2022,36.8,137.3
5,2022,61.5,138.7
6,2022,169.4,140.1
7,2022,287.1,141.5
8,2022,254.9,143.0
9,2022,173.5,144.2
10,2022,75.7,145.5
11,2022,28.6,146.8
12,2022,13.7,148.1
1,2023,18.8,149.4
2,2023,20.3,150.7
3,2023,27.0,152.0
4,2023,37.6,153.3
5,2023,62.1,154.6
6,2023,170.2,156.0
7,2023,288.4,157.2
8,2023,255.6,158.4
9,2023,174.0,159.5
10,2023,76.1,160.6
11,2023,28.9,161.7
12,2023,13.9,162.8
1,2024,19.1,163.9
2,2024,20.5,165.0
3,2024,27.2,166.0
4,2024,37.8,167.0
5,2024,62.3,168.1
6,2024,170.7,169.1
7,2024,289.3,170.1
8,2024,256.2,171.1
9,2024,174.5,172.1
10,2024,76.5,173.1
11,2024,29.0,174.1
12,2024,14.0,175.1
1,2025,19.2,176.1
2,2025,21.0,177.1
3,2025,27.4,178.0
4,2025,38.0,179.0
5,2025,62.6,180.0
6,2025,171.0,181.0
7,2025,289.6,182.0
8,2025,256.5,183.0
9,2025,174.6,184.0
10,2025,76.7,185.0
11,2025,29.2,186.0
12,2025,14.1,187.0
