Month,Year,Rainfall,WPI
1,2022,18.2,142.4
2,2022,19.7,143.9
3,2022,26.4,145.3
4,2022,37.2,146.8
5,2022,61.9,148.5
6,2022,169.2,150.0
7,2022,286.7,151.6
8,2022,253.4,153.2
9,2022,172.9,154.6
10,2022,75.9,156.1
11,2022,28.7,157.7
12,2022,13.8,159.2
1,2023,18.9,160.7
2,2023,20.4,162.2
3,2023,27.1,163.5
4,2023,38.0,164.8
5,2023,62.4,166.0
6,2023,170.3,167.4
7,2023,287.9,168.8
8,2023,254.6,170.2
9,2023,173.3,171.5
10,2023,76.3,172.8
11,2023,29.0,174.1
12,2023,14.0,175.3
1,2024,19.0,176.5
2,2024,20.6,177.7
3,2024,27.3,178.9
4,2024,38.2,180.1
5,2024,62.8,181.3
6,2024,170.5,182.5
7,2024,288.2,183.7
8,2024,255.0,184.9
9,2024,174.2,186.0
10,2024,77.2,187.2
11,2024,29.2,188.3
12,2024,14.1,189.5
1,2025,19.2,190.6
2,2025,21.0,191.8
3,2025,27.4,193.0
4,2025,38.3,194.2
5,2025,63.1,195.3
6,2025,171.0,196.5
7,2025,288.4,197.6
8,2025,255.2,198.7
9,2025,174.3,199.8
10,2025,77.3,200.9
11,2025,29.3,202.0
12,2025,14.2,203.1
