Month,Year,Rainfall,WPI
1,2022,20.1,165.4
2,2022,23.5,166.8
3,2022,28.7,168.3
4,2022,41.0,170.2
5,2022,65.3,171.8
6,2022,175.0,173.5
7,2022,285.1,175.0
8,2022,260.4,176.8
9,2022,178.2,178.4
10,2022,79.3,180.0
11,2022,31.2,181.6
12,2022,15.4,183.0
1,2023,20.5,184.6
2,2023,23.8,186.0
3,2023,29.0,187.5
4,2023,41.5,189.0
5,2023,65.7,190.6
6,2023,176.0,192.1
7,2023,286.3,193.7
8,2023,261.2,195.2
9,2023,178.8,196.7
10,2023,79.8,198.3
11,2023,31.5,199.8
12,2023,15.6,201.4
1,2024,20.9,202.8
2,2024,24.2,204.3
3,2024,29.4,205.7
4,2024,42.0,207.3
5,2024,66.2,208.7
6,2024,177.0,210.2
7,2024,287.5,211.7
8,2024,262.1,213.2
9,2024,179.5,214.7
10,2024,80.3,216.2
11,2024,31.9,217.7
12,2024,15.8,219.1
1,2025,21.3,220.6
2,2025,24.6,222.1
3,2025,29.8,223.6
4,2025,42.5,225.0
5,2025,66.7,226.4
6,2025,178.0,227.9
7,2025,288.7,229.3
8,2025,263.0,230.8
9,2025,180.2,232.3
10,2025,80.8,233.7
11,2025,32.2,235.1
12,2025,16.0,236.5

